source_file,sheet,source_column,raw_township,raw_state_region,row_count,first_sample_row,top_suggestion,top_confidence,status,notes
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,,,160,55,,,Blank township,blank Township value
01_Data/Stock/2026_KMM_R2_STOCK.xlsx,02) STOCK,Location,0,Bago West Division,126,174,Gyobingauk (Bago (West)),0.0,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Gyobingauk (Bago (West))
01_Data/Stock/2026_KMM_R2_STOCK.xlsx,02) STOCK,Location,0,Mon State,101,61,Bilin (Mon),0.0,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Bilin (Mon)
01_Data/Stock/2026_KMM_R2_STOCK.xlsx,02) STOCK,Location,03-Hlegu,,86,101,Hlegu (Yangon),83.3,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Hlegu (Yangon)
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Naypyitaw,MANDALAY,79,434,Myittha (Mandalay),50.0,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Myittha (Mandalay)
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Oakpho,BAGO WEST,78,53,Okpho (Bago (West)),90.9,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Okpho (Bago (West))
01_Data/Stock/2026_KMM_R2_STOCK.xlsx,02) STOCK,Location,02-MLY,,75,13,Monyo (Bago (West)),40.0,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Monyo (Bago (West))
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Gyopinkouk,BAGO WEST,66,68,Gyobingauk (Bago (West)),70.0,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Gyobingauk (Bago (West))
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Tikkyi,YANGON,60,48,Taikkyi (Yangon),92.3,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Taikkyi (Yangon)
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Paundel,BAGO WEST,53,853,Paungde (Bago (West)),85.7,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Paungde (Bago (West))
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Thonze,BAGO WEST,48,37,Thegon (Bago (West)),66.7,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Thegon (Bago (West))
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Thae Kone,BAGO WEST,43,71,Thegon (Bago (West)),71.4,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Thegon (Bago (West))
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Zeekone,BAGO WEST,37,749,Zigon (Bago (West)),50.0,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Zigon (Bago (West))
01_Data/Stock/2026_KMM_R2_STOCK.xlsx,02) STOCK,Location,GD-MWD,,36,46,Gwa (Rakhine),50.0,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Gwa (Rakhine)
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Shwe Taung,BAGO WEST,31,352,Shwedaung (Bago (West)),88.9,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Shwedaung (Bago (West))
01_Data/Stock/2026_KMM_R2_STOCK.xlsx,02) STOCK,Location,03-TYD,,30,14,Thayarwady (Bago (West)),40.0,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Thayarwady (Bago (West))
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Chanungzon,MON,28,839,Chaungzon (Mon),94.7,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Chaungzon (Mon)
01_Data/Stock/2026_KMM_R2_STOCK.xlsx,02) STOCK,Location,0,Magway Division,21,179,Aunglan (Magway),0.0,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Aunglan (Magway)
01_Data/Stock/2026_KMM_R2_STOCK.xlsx,02) STOCK,Location,0,Yangon Division,21,239,Ahlone (Yangon),0.0,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Ahlone (Yangon)
01_Data/Stock/2026_KMM_R2_STOCK.xlsx,02) STOCK,Location,01-NCH,,21,8,Sanchaung (Yangon),42.9,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Sanchaung (Yangon)
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Nay Pyi Taw,MANDALAY,20,2629,Myittha (Mandalay),50.0,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Myittha (Mandalay)
01_Data/Marketing/2026 Marketing Summary.xlsx,Sheet1,Township,,,17,35,,,Blank township,blank Township value
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Taung Twin Gyi,MAGWAY,17,1205,Taungdwingyi (Magway),91.7,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Taungdwingyi (Magway)
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Kyaikhto,MON,15,398,Kyaikto (Mon),93.3,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Kyaikto (Mon)
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Moe Nyo,BAGO WEST,15,2506,Monyo (Bago (West)),90.9,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Monyo (Bago (West))
01_Data/Stock/2026_KMM_R2_STOCK.xlsx,02) STOCK,Location,01-MWD,,14,5,Myawaddy (Kayin),46.2,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Myawaddy (Kayin)
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,OAKPHO,BAGO WEST,14,20,Okpho (Bago (West)),90.9,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Okpho (Bago (West))
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Eainmae,AYEYARWADDY,12,903,Einme (Ayeyarwady),83.3,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Einme (Ayeyarwady)
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Moenyo,BAGO WEST,12,34,Monyo (Bago (West)),90.9,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Monyo (Bago (West))
01_Data/Stock/2026_KMM_R2_STOCK.xlsx,02) STOCK,Location,03-THZ,,11,30,Thazi (Mandalay),60.0,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Thazi (Mandalay)
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,ThaeKone,BAGO WEST,11,977,Thegon (Bago (West)),71.4,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Thegon (Bago (West))
01_Data/Stock/2026_KMM_R2_STOCK.xlsx,02) STOCK,Location,0,Tanintharyi Division,10,300,Bokpyin (Tanintharyi),0.0,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Bokpyin (Tanintharyi)
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Oakkan,YANGON,10,755,Kyauktan (Yangon),57.1,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Kyauktan (Yangon)
01_Data/Stock/2026_KMM_R2_STOCK.xlsx,02) STOCK,Location,0,Bago East Division,9,178,Bago (Bago (East)),0.0,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Bago (Bago (East))
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Hlaing Tharyar,YANGON,9,855,Hlaingtharya (East) (Yangon),82.8,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Hlaingtharya (East) (Yangon)
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Myoe Thit,MAGWAY,9,2485,Myothit (Magway),93.3,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Myothit (Magway)
01_Data/Stock/2026_KMM_R2_STOCK.xlsx,02) STOCK,Location,0,Kayin State,8,262,Hlaingbwe (Kayin),0.0,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Hlaingbwe (Kayin)
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Paungdel,BAGO WEST,8,106,Paungde (Bago (West)),93.3,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Paungde (Bago (West))
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,ZEE KONE,BAGO WEST,8,31,Zigon (Bago (West)),50.0,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Zigon (Bago (West))
01_Data/Stock/2026_KMM_R2_STOCK.xlsx,02) STOCK,Location,0,Ayeyarwaddy Division,7,176,Bogale (Ayeyarwady),0.0,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Bogale (Ayeyarwady)
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Kyaung Kone,AYEYARWADDY,7,1348,Kyaunggon (Ayeyarwady),84.2,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Kyaunggon (Ayeyarwady)
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,TIKEKYI ,YANGON,7,13,Taikkyi (Yangon),85.7,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Taikkyi (Yangon)
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Yangon,YANGON,7,217,Mayangone (Yangon),80.0,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Mayangone (Yangon)
01_Data/Stock/2026_KMM_R2_STOCK.xlsx,02) STOCK,Location,0,Ayeyarwady Division ,6,234,Bogale (Ayeyarwady),0.0,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Bogale (Ayeyarwady)
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,LATPADAN,BAGO WEST,6,214,Letpadan (Bago (West)),87.5,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Letpadan (Bago (West))
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,THAE KONE,BAGO WEST,6,7,Thegon (Bago (West)),71.4,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Thegon (Bago (West))
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Yay Tar Shay,BAGO EAST,6,424,Kyauktaga (Bago (East)),52.6,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Kyauktaga (Bago (East))
01_Data/Stock/2026_KMM_R2_STOCK.xlsx,02) STOCK,Location,0,Shan State,5,175,Kengtung (Shan (East)),0.0,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Kengtung (Shan (East))
01_Data/Stock/2026_KMM_R2_STOCK.xlsx,02) STOCK,Location,01-HPA,,5,180,Hpa-An (Kayin),60.0,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Hpa-An (Kayin)
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Hispaw,SHAN,5,160,Hsipaw (Shan (North)),83.3,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Hsipaw (Shan (North))
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Htan Ta Pin,BAGO EAST,5,2142,Htantabin (Bago (East)),88.9,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Htantabin (Bago (East))
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Mandalay,MANDALAY,5,27,Madaya (Mandalay),71.4,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Madaya (Mandalay)
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Moenyo ,BAGO WEST,5,1517,Monyo (Bago (West)),90.9,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Monyo (Bago (West))
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Tontay,YANGON,5,989,Twantay (Yangon),76.9,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Twantay (Yangon)
01_Data/Stock/2026_KMM_R2_STOCK.xlsx,02) STOCK,Location,0, Mon State,4,261,Bilin (Mon),0.0,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Bilin (Mon)
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Bokalay,AYEYARWADDY,4,865,Kalaw (Shan (South)),66.7,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Kalaw (Shan (South))
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Htan Ta Pin,YANGON,4,2048,Htantabin (Yangon),88.9,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Htantabin (Yangon)
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,KYAIKHTO,MON,4,149,Kyaikto (Mon),93.3,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Kyaikto (Mon)
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,MOE NYO,BAGO WEST,4,14,Monyo (Bago (West)),90.9,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Monyo (Bago (West))
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Mayan Kone,YANGON,4,2781,Mayangone (Yangon),88.9,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Mayangone (Yangon)
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Myawady,KAYIN,4,1240,Myawaddy (Kayin),93.3,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Myawaddy (Kayin)
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Nyaung Lay Pin,BAGO EAST,4,271,Nyaunglebin (Bago (East)),78.3,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Nyaunglebin (Bago (East))
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Pauk Khoung,BAGO WEST,4,44,Paukkhaung (Bago (West)),90.0,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Paukkhaung (Bago (West))
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Puthee Kone,BAGO WEST,4,905,Thegon (Bago (West)),62.5,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Thegon (Bago (West))
01_Data/Marketing/2026 Marketing Summary.xlsx,Sheet1,Township,Tharyarwaddy/ Oakkan,Bago,4,20,Thayarwady (Bago (West)),90.9,Needs manual review,contains separator; multiple possible townships
01_Data/Stock/2026_KMM_R2_STOCK.xlsx,02) STOCK,Location,0, Bago East Division,3,299,Bago (Bago (East)),0.0,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Bago (Bago (East))
01_Data/Stock/2026_KMM_R2_STOCK.xlsx,02) STOCK,Location,03-NL,,3,489,Minhla (Bago (West)),40.0,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Minhla (Bago (West))
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Ahmar,AYEYARWADDY,3,1184,Kamaryut (Yangon),61.5,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Kamaryut (Yangon)
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Aye Mya Tharyar,BAGO WEST,3,1730,Thayarwady (Bago (West)),52.2,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Thayarwady (Bago (West))
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Hlaingtharya,YANGON,3,305,Hlaingtharya (East) (Yangon),85.7,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Hlaingtharya (East) (Yangon)
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Htan Tapin,BAGO EAST,3,896,Htantabin (Bago (East)),88.9,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Htantabin (Bago (East))
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Kangyi Daunk,AYEYARWADDY,3,992,Kangyidaunt (Ayeyarwady),90.9,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Kangyidaunt (Ayeyarwady)
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Kanma,MAGWAY,3,2478,Kamma (Magway),80.0,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Kamma (Magway)
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Kyoukme,SHAN,3,99,Kyaukme (Shan (North)),85.7,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Kyaukme (Shan (North))
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Lawe,MANDALAY,3,512,Pyawbwe (Mandalay),54.5,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Pyawbwe (Mandalay)
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Nattlin,BAGO WEST,3,2248,Nattalin (Bago (West)),93.3,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Nattalin (Bago (West))
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Naypyitaw,NAYPYITAW,3,252,Pyinmana (Nay Pyi Taw),47.1,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Pyinmana (Nay Pyi Taw)
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Phayar Paw,BAGO WEST,3,2475,Thayarwady (Bago (West)),63.2,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Thayarwady (Bago (West))
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Saik Phyu,MAGWAY,3,3410,Seikphyu (Magway),87.5,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Seikphyu (Magway)
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Taung Ngoo,BAGO EAST,3,2168,Taungoo (Bago (East)),87.5,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Taungoo (Bago (East))
